name	l:label	uid	type	obtainable	command	label	entity:string_array
	Hypergraph		hypergraph		CommandNet>NewInstruction	l17. pork egg foo young lunch special	
	Token,~NoTag		token			l17	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Pork		token			pork	DBPedia>Pork
	Token,~NoTag		token			egg	~NoTag
	Token,~NoTag		token			foo	~NoTag
	Token,~NoTag		token			young	~NoTag
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
l17. vegetables egg foo young	Item,Obtainable,l17. vegetables egg foo young	N1566	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l17. vegetables egg foo young	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l17. vegetables egg foo young	
	Token,~NoTag		token			l17	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Vegetable		token			vegetable	DBPedia>Vegetable
	Token,~NoTag		token			egg	~NoTag
	Token,~NoTag		token			foo	~NoTag
	Token,~NoTag		token			young	~NoTag
l18.  double cooked pork lunch special	Item,Obtainable,l18.  double cooked pork lunch special	N911	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l18.  double cooked pork lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l18.  double cooked pork lunch special	
	Token,~NoTag		token			l18	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			double	~NoTag
	Token,~NoTag		token			cooked	~NoTag
	Token,DBPedia>Pork		token			pork	DBPedia>Pork
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
l19.  shredded pork with garlic sauce lunch special	Item,Obtainable,l19.  shredded pork with garlic sauce lunch special	N912	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l19.  shredded pork with garlic sauce lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l19.  shredded pork with garlic sauce lunch special	
	Token,~NoTag		token			l19	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,~NoTag		token			shredded	~NoTag
	Token,DBPedia>Pork		token			pork	DBPedia>Pork
	Token,CommonSense>With		token			with	CommonSense>With
	Token,DBPedia>Garlic		token			garlic	DBPedia>Garlic
	Token,DBPedia>Sauce		token			sauce	DBPedia>Sauce
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>AlongWith	AlongWith	
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
l20.  pork with string beans lunch special	Item,Obtainable,l20.  pork with string beans lunch special	N913	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l20.  pork with string beans lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l20.  pork with string beans lunch special	
	Token,~NoTag		token			l20	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Pork		token			pork	DBPedia>Pork
	Token,CommonSense>With		token			with	CommonSense>With
	Token,~NoTag		token			string	~NoTag
	Token,DBPedia>Bean		token			bean	DBPedia>Bean
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>AlongWith	AlongWith	
l21.  bean curd with vegetables lunch special	Item,Obtainable,l21.  bean curd with vegetables lunch special	N914	item	True			
	Hypergraph		hypergraph		CommandNet>NewInstruction	l21.  bean curd with vegetables lunch special	
	Hypergraph		hypergraph		CommandNet>NewInstruction	l21.  bean curd with vegetables lunch special	
	Token,~NoTag		token			l21	~NoTag
	Token,~NoTag		token			.	~NoTag
	Token,DBPedia>Bean		token			bean	DBPedia>Bean
	Token,DBPedia>Curd		token			curd	DBPedia>Curd
	Token,CommonSense>With		token			with	CommonSense>With
	Token,DBPedia>Vegetable		token			vegetable	DBPedia>Vegetable
	Token,DBPedia>Lunch		token			lunch	DBPedia>Lunch
	Token,~NoTag		token			special	~NoTag
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>Noun	Noun	
	Hypergraph		hypergraph		CommandNet>AlongWith	AlongWith	
l22.  broccoli with garlic sauce lunch special	Item,Obtainable,l22.  broccoli with garlic sauce lunch special	N915	item	True			
